"FileName","SentimentScore","SentimentScoreSD"
"HANSARD-10-21289.xml",0.324444519467474,0.214831090077433
"HANSARD-10-21290.xml",0.192258898432212,0.320436848630816
"HANSARD-10-21291.xml",0.0956289079755357,0.487515699057988
"HANSARD-10-21292.xml",0.0722331531348277,0.0940515231940801
"HANSARD-10-21310.xml",0.0728396956536869,0.123206814366791
"HANSARD-10-21311.xml",0.066712535280054,0.200216431385896
"HANSARD-10-21312.xml",-0.0729843054169151,0.185256101575098
"HANSARD-10-21313.xml",0.0726500991736659,0.159104323363406
"HANSARD-10-21314.xml",0.00521759879975663,0.162146313323915
"HANSARD-10-21315.xml",0.203777790343917,0.208410616270049
"HANSARD-10-21316.xml",0.242668791595817,0.220743326945061
"HANSARD-10-21317.xml",0.218357073236557,0.212342423344229
"HANSARD-10-21318.xml",0.18326346214007,0.151785321819707
"HANSARD-10-21319.xml",0.00373406576986656,0.223536235735549
"HANSARD-10-21320.xml",0.241760537369553,0.182656243564859
"HANSARD-10-21321.xml",0.0208558900536915,0.0438446510307144
"HANSARD-10-21322.xml",0.21668043665622,0.166541160357491
"HANSARD-10-21323.xml",0.122774116256885,0.145650226597397
"HANSARD-10-21330.xml",0.0570184517519377,0.0989866040176498
"HANSARD-10-21335.xml",0.167836431177202,0.196289781137462
"HANSARD-10-21336.xml",0.166676105830579,0.156023928454896
"HANSARD-10-21337.xml",0.175998843111052,0.175764702823026
"HANSARD-10-21338.xml",-0.107316792014511,0.107451654206773
"HANSARD-10-21339.xml",-0.171067641618894,0.184253320068839
"HANSARD-10-21340.xml",-0.0617473892070274,0.191793789782904
"HANSARD-10-21341.xml",0.0959148047913585,0.179186834757554
"HANSARD-10-21342.xml",0.113521802058019,0.182232834480257
"HANSARD-10-21343.xml",0.0578602071556062,0.126794777856553
"HANSARD-10-21344.xml",0.124842802519619,0.192166166795454
"HANSARD-10-21345.xml",0.0543774363482968,0.129250446284339
"HANSARD-10-21346.xml",0.268331483739965,0.246349541116086
"HANSARD-10-21347.xml",-0.0726856212197263,0.33761986149367
"HANSARD-10-21348.xml",0.158528689576551,0.164776083071898
"HANSARD-10-21349.xml",0.111347084352593,0.120201205817885
"HANSARD-10-21350.xml",0.137911973729376,0.163682783580307
"HANSARD-10-21351.xml",0.00122943187539634,0.0201594325675745
"HANSARD-10-21352.xml",0.283312992953535,0.226457677434655
"HANSARD-10-21353.xml",0.00295263096450139,0.148741800807811
"HANSARD-10-21354.xml",0.101380201196422,0.214384998610349
"HANSARD-10-21355.xml",0.0403479929422316,0.0740048884887998
"HANSARD-10-21356.xml",0.108296054166252,0.129953838407855
"HANSARD-10-21357.xml",0.024433501033677,0.0690719929987781
"HANSARD-10-21358.xml",-0.0263726417994746,0.163561748042187
"HANSARD-10-21359.xml",0.0214752532576398,0.0918568996655402
"HANSARD-10-21360.xml",0.0988663943254175,0.272719188808628
"HANSARD-10-21361.xml",-0.00235416712787647,0.257633684928184
"HANSARD-10-21362.xml",0.159940637248805,0.200917778303158
"HANSARD-10-21364.xml",0.0312246652992918,0.163511807252905
"HANSARD-10-21365.xml",0.133539191532358,0.131254616061795
"HANSARD-10-21366.xml",0.126793673013119,0.122596809150922
"HANSARD-10-21367.xml",0.0413128716076136,0.188743174965844
"HANSARD-10-21368.xml",0.0169098911756909,0.329382613030161
"HANSARD-10-21369.xml",0.189789470359007,0.181125576609526
"HANSARD-10-21370.xml",0.07953526523959,0.161919659906786
"HANSARD-10-21371.xml",0.123668483652717,0.113990839381257
"HANSARD-10-21372.xml",-0.0390243435185898,0.180693405206233
"HANSARD-10-21373.xml",0.251551219399775,0.253514198546184
"HANSARD-10-21374.xml",-0.0203684647994977,0.193822669689857
"HANSARD-10-21375.xml",0.0705551429941123,0.106520402079228
"HANSARD-10-21376.xml",0.0705551429941123,0.106520402079228
"HANSARD-10-21377.xml",0.145274939216749,0.340965162740425
"HANSARD-10-21378.xml",0.090593519861554,0.104384922956914
"HANSARD-10-21379.xml",-0.0166227830887991,0.25343128800339
"HANSARD-10-21380.xml",0.200213028992498,0.309798877278519
"HANSARD-10-21381.xml",0.302458435532651,0.223977920806329
"HANSARD-10-21382.xml",0.189954651797511,0.220116925633828
"HANSARD-10-21389.xml",0.13293627519089,0.196066396332993
"HANSARD-10-21398.xml",-0.0607024859419664,0.25202155969896
"HANSARD-10-21399.xml",0.0410466036135916,0.164608030203237
"HANSARD-10-21400.xml",0.0186641414473282,0.200248562219416
"HANSARD-10-21401.xml",-0.00761575119209697,0.137299826578741
"HANSARD-10-21402.xml",-0.0229181244860822,0.175667595395312
"HANSARD-10-21403.xml",-0.0635353691345003,0.192052961279331
"HANSARD-10-21404.xml",0.193874025315198,0.263683756478698
"HANSARD-10-21405.xml",0.15902847014179,0.368368953000747
"HANSARD-10-21406.xml",0.131459738680933,0.335257392162602
"HANSARD-10-21407.xml",0.489345736662706,0.332096090040065
"HANSARD-10-21408.xml",-0.00135257039504052,0.212751995620942
"HANSARD-10-21409.xml",0.195999596468556,0.278014165954806
"HANSARD-10-21410.xml",0.164957349594184,0.253480401751046
"HANSARD-10-21411.xml",-0.141907366230596,0.276888767304969
"HANSARD-10-21412.xml",0.32310620698893,0.346787485573413
"HANSARD-10-21413.xml",0.0834585488936621,0.371365525666045
"HANSARD-10-21414.xml",0.206033698530711,0.320932326541255
"HANSARD-10-21415.xml",0.00965576990029111,0.216859010901509
"HANSARD-10-21416.xml",0.107941197766119,0.207676799371907
"HANSARD-10-21417.xml",-0.0205136675456542,0.406209478351709
